name,manufacturer
모스쿨액,경남제약(주)
발사렉트정160밀리그램(발사르탄),제이더블유중외제약(주)
"페모스톤콘티정(에스트라디올반수화물(미분화), 디드로게스테론)",한국애보트(유)
이알디캡슐(에르도스테인),(주)바이넥스
셀렉틴캡슐(플루옥세틴염산염),(주)바이넥스
두타락연질캡슐0.5밀리그램(두타스테리드),알리코제약(주)
세페리손정(에페리손염산염),(주)셀트리온제약
솔토니신정5mg(솔리페나신숙신산염),정우신약(주)
케이사신정250밀리그램(시프로플록사신염산염수화물),알보젠코리아(주)
엔도클린산,유니메드제약(주)
한국넬슨미소프로스톨정(미소프로스톨100배산),한국넬슨제약(주)
팜리카캡슐150밀리그램(프레가발린),(주)한국팜비오
리세로플러스정,(주)킵스바이오파마
몬테포스정10mg(몬테루카스트나트륨),일양바이오팜(주)
구주인산코데인정,구주제약(주)
아리페정(도네페질염산염수화물),성원애드콕제약(주)
테르비플러스크림,신일제약(주)
이텍스암브록솔시럽(암브록솔염산염),(주)테라젠이텍스
넬슨로라타딘정,한국넬슨제약(주)
파스틱정90밀리그램(나테글리니드),일동제약(주)
석시콜린주50mg/mL(염화석사메토늄)(앰플),일성아이에스(주)
"케노펜쿨링카타플라스마
(케토프로펜)",일동제약(주)
오디플루캡슐75밀리그램(오셀타미비르인산염),(주)서울제약
엘펙탄캡슐(에르도스테인),(주)팜젠사이언스
대웅바이오에페리손정(에페리손염산염),대웅바이오(주)
나르신캡슐,(주)바이넥스
카딜란정12.5밀리그램(카르베딜롤),경동제약(주)
경남그린웰연질캡슐,경남제약(주)
옥사틴정(옥사토마이드),영진약품(주)
아토스틴정(아토르바스타틴칼슘삼수화물),(주)유영제약
리노드린서방캡슐,진양제약(주)
제로피온서방정150mg(부프로피온염산염),(주)제뉴파마
이스미젠설하정(표준화된동결건조균체용해물),슈미트헬스코리아(유)
휴텍스파모티딘정20mg,한국휴텍스제약(주)
유니마릴엠정,유니메드제약(주)
이토라핀정(이토프리드염산염),에스피씨(주)
프레캅캡슐150밀리그램(프레가발린),(주)제뉴파마
유니텐점안액(케토티펜푸마르산염),유니메드제약(주)
라비파정20밀리그램(라베프라졸나트륨),풍림무약(주)
니코스탑-20패취(니코틴),(주)삼양홀딩스
케토파인겔(케토프로펜),태극제약(주)
탈루메트정(탈니플루메이트),태극제약(주)
라파진정(레보드로프로피진),(주)제뉴파마
아디펙스정18.75mg(펜터민염산염),광동제약(주)
타다롱구강용해필름20밀리그램(타다라필),광동제약(주)
투렌정(벤프로페린인산염),태극제약(주)
프레벨액0.25%(프레드니카르베이트),태극제약(주)
바로킨연질캡슐(은행엽건조엑스)(수출용),영풍제약(주)
펠돈티정(돔페리돈말레산염),영풍제약(주)
펠로핀지속정(펠로디핀),한국넬슨제약(주)
투게논정10/8밀리그램,동아에스티(주)
모니맥정(모니플루메이트),맥널티제약(주)
씨메탈시정,초당약품공업(주)
터비넥스크림(테르비나핀염산염),에이치엘비제약(주)
디멘페질정10밀리그램(도네페질염산염수화물),(주)대웅제약
애니목스정500mg(아목시실린·설박탐피복실),삼익제약(주)
티로엠정(티로프라미드염산염)(수출명:Tiroem Tab.),삼익제약(주)
이지타핀정200밀리그램(쿠에티아핀푸마르산염),(주)휴온스
미앤디주(콜레칼시페롤),삼진제약(주)
브론펙트캡슐(에르도스테인),삼진제약(주)
세로카바정(에스시탈로프람옥살산염),삼진제약(주)
시너젯이알서방정,삼진제약(주)
씨르텔미정40밀리그램(텔미사르탄),에이치엘비제약(주)
아나텔정80밀리그램(텔미사르탄),아주약품(주)
바제칼디정,신풍제약(주)
프리렙톨캡슐25밀리그램(프레가발린),환인제약(주)
아네스크림,태극제약(주)
고려칸데사르탄정16밀리그램(칸데사르탄실렉세틸),고려제약(주)
"고려칸데사르탄플러스정(칸데사르탄실렉세틸,히드로클로로티아지드)",고려제약(주)
리드펜플러스연질캡슐(덱시부프로펜),명문제약(주)
에스프롤정20밀리그램(에스오메프라졸마그네슘삼수화물),명문제약(주)
액티라제주사50밀리그램(알테플라제),한국베링거인겔하임(주)
베넥사엑스알서방캡슐75밀리그램(벤라팍신염산염),한림제약(주)
에소메칸정40밀리그램(에스오메프라졸마그네슘삼수화물),제이더블유중외제약(주)
레티잘정(레보세티리진염산염),알보젠코리아(주)
디카맥스디플러스정,(주)다림바이오텍
올프레정20밀리그램(올메사탄메독소밀),하나제약(주)
헤르벤서방캡슐180밀리그램(딜티아젬염산염),에이치케이이노엔(주)
마그셀연질캡슐,(주)에이프로젠바이오로직스
로스토정20밀리그램(로수바스타틴칼슘),하나제약(주)
옥시콘틴서방정40밀리그램(옥시코돈염산염),한국먼디파마 유한회사
데놀정(비스무트시트르산염칼륨),(주)녹십자
알쯔페질정5mg(도네페질염산염일수화물),한국휴텍스제약(주)
알러메드정(에피나스틴염산염),구주제약(주)
레블리미드캡슐25밀리그램(레날리도마이드),(유)한국비엠에스제약
펜디세미정(펜디메트라진타르타르산염),(주)휴온스
로수메가연질캡슐,건일제약(주)
코미플루캡슐75밀리그램(오셀타미비르인산염),코오롱제약(주)
더블자임정,에스케이케미칼(주)
